USER,SKILLS,DOMAIN,LOCATION,experience
Darsh,Critical Thinking,Music and Arts,Jhansi,5
Aanya,Adaptability,Insurance,Patna,4
Rian,Time Management,Retail,Dehradun,7
Kiara,Project Management,Manufacturing,Chandigarh,2
Vedant,Cross Platform Development,Wholesale,Vishakhapatnam,6
Avishi,Teamwork,E-commerce,Thiruvananthapuram,0
Manan,Decision-Making,Finance,Gaya,3
Ruhi,Public Speaking,Real Estate,Gandhinagar,5
Arnav,Customer Service,Hospitality,Udaipur,1
Sanvi,Negotiation,Healthcare,Ahmedabad,6
Aradhya,Programming ,Technology,Rajkot,4
Viyan,Web Development ,Aerospace and Defense,Gwalior,0
Avishi,Mobile App Development ,Media and Publishing,Indore,2
Vihaan,Data Analysis ,Waste Management,Nainital,3
Eesha,Database Management ,Renewable Energy,Hamirpur,7
Ishanvi,Cloud Computing ,Music and Arts,Guwahati,1
Kian,Machine Learning and AI,Insurance,Kota,5
Aradhya,Cybersecurity,Medical,Thiruvananthapuram,7
Rayan,DevOps,Agriculture,Vellore,4
Zoya,Network Administration,Energy,Vijaywada,0
Aaryan,Software Testing and Quality Assurance,Retail,Amravati,3
Anvi,IT Support,Technology,Ghaziabad,6
Hriya,UI/UX Design,Transportation and Logistics,Kanpur,2
Viransh,Digital Marketing,Construction,Ambala,1
Avisha,Data Science,Entertainment,Ranchi,5
Rishaan,Blockchain Development,Education,Mysore,0
Aanika,Internet of Things (IoT),Agriculture,Manesar,7
Hrishikesh,Game Development,Energy,Hyderabad,4
Kavita,Augmented Reality (AR) and Virtual Reality (VR),Automotive,New Delhi,2
Pranika,Big Data and Hadoop,Consulting,Sonipat,6
Shlok,Communication Skills,Legal Services,Bhopal,3
Samyukta,Leadership,Marketing and Advertising,Jhansi,1
Eshita,Problem-Solving,Environmental Services,Patna,5
Krishang,Creativity,Food and Beverage,Dehradun,0
Manya,Critical Thinking,Telecommunications,Chandigarh,2
Pratyush,Adaptability,Fashion and Apparel,Vishakhapatnam,7
Ishmit,Time Management,Pharmaceuticals,Thiruvananthapuram,1
Dhruvika,Project Management,Interior Design and Decor,Gaya,6
Yatharth,Cross Platform Development,Fitness and Wellness,Meerut,3
Akriti,Teamwork,Nonprofits,Noida,5
Risha,Decision-Making,Aerospace and Defense,Jaipur,4
Yajat,Public Speaking,Media and Publishing,Gurugram,0
Aanya,Customer Service,Aerospace and Defense,Delhi,7
Zayn,Negotiation,Media and Publishing,Mumbai,1
Devisha,Sales and Marketing,Waste Management,Meerut,3
Rudraksha,Financial Literacy,Renewable Energy,Noida,0
Meher,Writing and Editing,Music and Arts,Jaipur,5
Parisha,Presentation Skills,Insurance,Gurugram,4
Saatvik,Conflict Resolution,Retail,Delhi,7
Tvisha,Strategic Planning,Manufacturing,Mumbai,2
Sahil,Interpersonal Skills,Wholesale,Pune,6
Vaanya,Networking,E-commerce,Ranchi,0
Ishaani,Organization,Finance,Mohali,3
Avyukt,Research,Real Estate,Kolkata,5
Anaira,Time Management,Hospitality,Jaipur,1
Rajanya,Stress Management,Healthcare,Bangalore,6
Shriyan,Cross-Cultural Competence,Technology,Chennai,4
Nirbhay,Problem-Solving,Finance,Lucknow,0
Hima,Adaptability,Real Estate,Amritsar,2
Vihaana,Leadership,Hospitality,Agra,3
Kanishka,Critical Thinking,Healthcare,Leh,7
Tejal,Cross Platform Development,Technology,Jammu,1
Vayun,Customer Service,Transportation and Logistics,Kashmir,5
Aishani,Sales and Marketing,Construction,Manesar,7
Avyakta,Public Relations,Entertainment,Hyderabad,4
Deetya,Conflict Resolution,Education,New Delhi,0
Aryav,Negotiation,Agriculture,Sonipat,3
Vrinda,Project Management,Energy,Bhopal,6
Prajwal,Entrepreneurship,Automotive,Jhansi,2
Amanat,Ethics and Integrity,Consulting,Patna,1
Harin,Decision-Making,Legal Services,Dehradun,5
Shuchita,Time Management,Marketing and Advertising,Chandigarh,0
Veeransh,Financial Planning,Environmental Services,Vishakhapatnam,7
Shaivi,Event Planning,Food and Beverage,Thiruvananthapuram,4
Aakarsh,Coaching and Mentoring,Telecommunications,Gaya,2
Jivika,Creative Thinking,Fashion and Apparel,Gandhinagar,6
Aadvik,Multilingualism,Pharmaceuticals,Udaipur,3
Adhira,Risk Management,Interior Design and Decor,Ahmedabad,1
Advaita,Sales Strategy,Fitness and Wellness,Rajkot,4
Aishwarya,Flutter,Nonprofits,Gwalior,6
Akriti,Mobile App Development ,Aerospace and Defense,Indore,2
Anay,Data Analysis ,Media and Publishing,Nainital,7
Aria,Database Management ,Waste Management,Hamirpur,1
Arnavi,Cloud Computing ,Renewable Energy,Guwahati,3
Arohi,Machine Learning and AI,Music and Arts,Kota,0
Atharv,Cybersecurity,Insurance,Thiruvananthapuram,5
Avani,DevOps,Retail,Vellore,4
Ayansh,Network Administration,Manufacturing,Vijaywada,7
Bhavya,Software Testing and Quality Assurance,Wholesale,Amravati,2
Charvi,IT Support,E-commerce,Ghaziabad,6
Daksh,UI/UX Design,Finance,Kanpur,0
Devansh,Digital Marketing,Real Estate,Ambala,3
Divit,Data Science,Hospitality,Ranchi,5
Drishti,Blockchain Development,Healthcare,Mysore,1
Ekagra,Internet of Things (IoT),Technology,Manesar,6
Ekisha,Game Development,Transportation and Logistics,Hyderabad,4
Gitanjali,Augmented Reality (AR) and Virtual Reality (VR),Construction,New Delhi,0
Hansika,Big Data and Hadoop,Entertainment,Sonipat,2
Hriday,Communication Skills,Education,Bhopal,3
Iesha,Leadership,Agriculture,Jhansi,7
Iraa,Problem-Solving,Energy,Patna,1
Ishita,Creativity,Automotive,Dehradun,5
Jaivik,Critical Thinking,Consulting,Chandigarh,7
Jiya,Adaptability,Legal Services,Vishakhapatnam,4
Kaashvi,Time Management,Marketing and Advertising,Thiruvananthapuram,0
Kanha,Project Management,Environmental Services,Gaya,3
Kenit,Cross Platform Development,Food and Beverage,Meerut,6
Khushi,Teamwork,Telecommunications,Noida,2
Kiyan,Decision-Making,Fashion and Apparel,Jaipur,1
Kriyansh,Public Speaking,Pharmaceuticals,Gurugram,5
Mahi,Customer Service,Interior Design and Decor,Delhi,0
Maithili,Negotiation,Fitness and Wellness,Mumbai,7
Manya,Programming ,Nonprofits,Amritsar,4
Navya,Web Development ,Aerospace and Defense,Agra,2
Neev,Mobile App Development ,Media and Publishing,Leh,6
Nirvaan,Data Analysis ,Waste Management,Jammu,3
Omisha,Database Management ,Renewable Energy,Kashmir,1
Parisha,Cloud Computing ,Music and Arts,Manesar,5
Parv,Machine Learning and AI,Insurance,Hyderabad,0
Pihu,Cybersecurity,Medical,New Delhi,2
Prajin,DevOps,Agriculture,Sonipat,7
Raahi,Network Administration,Aerospace and Defense,Bhopal,1
Rachit,Software Testing and Quality Assurance,Media and Publishing,Jhansi,6
Rishaan,IT Support,Waste Management,Patna,3
Saavi,UI/UX Design,Renewable Energy,Dehradun,5
Sanya,Digital Marketing,Music and Arts,Chandigarh,4
Shresth,Data Science,Insurance,Vishakhapatnam,0
Shreyaansh,Blockchain Development,Medical,Thiruvananthapuram,7
Shivansh,Internet of Things (IoT),Agriculture,Gaya,1
Siddhi,Game Development,Energy,Gandhinagar,3
Tarun,Augmented Reality (AR) and Virtual Reality (VR),Retail,Udaipur,0
Taara,Big Data and Hadoop,Technology,Ahmedabad,5
Tanishi,Communication Skills,Transportation and Logistics,Rajkot,4
Tanmay,Leadership,Construction,Gwalior,7
Tavishi,Problem-Solving,Entertainment,Indore,2
Tvisha,Creativity,Education,Nainital,6
Vaanya,Critical Thinking,Agriculture,Hamirpur,0
Vaidik,Adaptability,Energy,Guwahati,3
Vairat,Time Management,Automotive,Kota,5
Vihaas,Project Management,Technology,Thiruvananthapuram,1
Vrishti,Cross Platform Development,Transportation and Logistics,Vellore,6
Vrisha,Teamwork,Construction,Vijaywada,4
Yuvansh,Decision-Making,Entertainment,Amravati,0
Zia,Public Speaking,Education,Ghaziabad,2
Ziva,Customer Service,Agriculture,Kanpur,3
Aadhya,Negotiation,Energy,Ambala,7
Arshia,Sales and Marketing,Automotive,Ranchi,1
Amaira,Financial Literacy,Consulting,Mysore,5
Dyuti,Writing and Editing,Legal Services,Manesar,7
Eesha,Presentation Skills,Marketing and Advertising,Hyderabad,4
Grishma,Conflict Resolution,Environmental Services,New Delhi,0
Jashan,Strategic Planning,Food and Beverage,Sonipat,3
Kairav,Interpersonal Skills,Telecommunications,Bhopal,6
Kavya,Networking,Medical,Jhansi,2
Mehak,Organization,Agriculture,Patna,1
Neysa,Research,Energy,Dehradun,5
Praniti,Time Management,Retail,Chandigarh,0
Rianka,Stress Management,Technology,Vishakhapatnam,7
Ronit,Cross-Cultural Competence,Transportation and Logistics,Thiruvananthapuram,4
Saina,Problem-Solving,Construction,Gaya,2
Sarayu,Adaptability,Entertainment,Meerut,6
Swayam,Leadership,Education,Noida,3
Tarika,Critical Thinking,Agriculture,Jaipur,1
Trisha,Cross Platform Development,Energy,Gurugram,4
Ujaas,Customer Service,Automotive,Delhi,6
Ujjwal,Sales and Marketing,Consulting,Mumbai,2
Vaaruni,Public Relations,Legal Services,Meerut,7
Vanya,Conflict Resolution,Agriculture,Noida,1
Vianka,Negotiation,Energy,Jaipur,3
Vihaana,Project Management,Automotive,Gurugram,0
Vrishti,Entrepreneurship,Consulting,Delhi,5
Yaanika,Ethics and Integrity,Legal Services,Mumbai,4
Zayan,Decision-Making,Marketing and Advertising,Pune,7
Zoya,Time Management,Environmental Services,Ranchi,2
Aariya,Financial Planning,Food and Beverage,Mohali,6
Aarush,Event Planning,Telecommunications,Kolkata,0
Krishna,Coaching and Mentoring,Fashion and Apparel,Jaipur,3
Yuvraj,Creative Thinking,Pharmaceuticals,Bangalore,5
Parth,Multilingualism,Interior Design and Decor,Chennai,1
Suhaib,Risk Management,Fitness and Wellness,Lucknow,6
Ashlesh,Sales Strategy,Technology,Amritsar,4
Nawaz,Flutter,Transportation and Logistics,Lucknow,0
Shailendra,Mobile App Development ,Construction,Amritsar,2
Bhavisya,Data Analysis ,Entertainment,Agra,3
Priyanka,Database Management ,Education,Leh,7
Yathesth,Cloud Computing ,Agriculture,Jammu,1
Ankit,Machine Learning and AI,Energy,Kashmir,5
Pranshu,Cybersecurity,Automotive,Manesar,7
Shubham,DevOps,Consulting,Hyderabad,4
Abhinav,Network Administration,Legal Services,New Delhi,0
Abhinam,Software Testing and Quality Assurance,Marketing and Advertising,Sonipat,3
Lucky,IT Support,Environmental Services,Bhopal,6
Mayank,UI/UX Design,Food and Beverage,Jhansi,2
Manish,Digital Marketing,Telecommunications,Patna,1
Parvindar,Data Science,Entertainment,Dehradun,5
Anurag,Blockchain Development,Education,Chandigarh,0
Priyam,Internet of Things (IoT),Agriculture,Vishakhapatnam,7
Khushagra,Game Development,Medical,Thiruvananthapuram,4
Saurav,Augmented Reality (AR) and Virtual Reality (VR),Agriculture,Gaya,2
Srijan,Big Data and Hadoop,Energy,Gandhinagar,6
Priyank,Communication Skills,Retail,Udaipur,3
Prithviraj,Leadership,Technology,Ahmedabad,1
Anuj,Problem-Solving,Transportation and Logistics,Rajkot,5
Arbaz,Creativity,Construction,Gwalior,0
Gaurav,Critical Thinking,Entertainment,Indore,2
Manjeet,Adaptability,Education,Nainital,7
Richa,Time Management,Agriculture,Hamirpur,1
Ritika,Project Management,Energy,Guwahati,6
Anya,Cross Platform Development,Automotive,Kota,3
Ananya,Teamwork,Consulting,Thiruvananthapuram,5
Diviya,Decision-Making,Legal Services,Vellore,4
Paritosh,Public Speaking,Agriculture,Vijaywada,0
Ram,Customer Service,Energy,Amravati,7
Samuel,Negotiation,Automotive,Ghaziabad,1
Prithvi,Programming ,Consulting,Kanpur,3
Badri,Web Development ,Legal Services,Ambala,0
Sayak,Mobile App Development ,Marketing and Advertising,Ranchi,5
Shubh,Data Analysis ,Environmental Services,Mysore,4
Vansh,Database Management ,Food and Beverage,Manesar,7
Mitali,Cloud Computing ,Telecommunications,Hyderabad,2
Navneet,Machine Learning and AI,Fashion and Apparel,New Delhi,6
Akhil,Cybersecurity,Medical,Sonipat,0
Saurabh,DevOps,Agriculture,Bhopal,3
Krishak,Network Administration,Energy,Jhansi,5
Deepak,Software Testing and Quality Assurance,Retail,Patna,1
Pankaj,IT Support,Technology,Dehradun,6
Divyansh,UI/UX Design,Transportation and Logistics,Chandigarh,4
Devang,Digital Marketing,Construction,Vishakhapatnam,0
Dev,Data Science,Entertainment,Thiruvananthapuram,2
Saksham,Blockchain Development,Education,Gaya,3
Shubhi,Internet of Things (IoT),Agriculture,Meerut,7
Muskan,Game Development,Energy,Noida,1
Ayushi,Augmented Reality (AR) and Virtual Reality (VR),Automotive,Jaipur,5
Samarth,Big Data and Hadoop,Consulting,Gurugram,7
Priyanshu,Communication Skills,Legal Services,Delhi,4
Niti,Leadership,Education,Mumbai,0
Varun,Problem-Solving,Agriculture,Meerut,3
Sarti,Creativity,Energy,Noida,6
Sarthak,Critical Thinking,Automotive,Jaipur,2
Akram,Adaptability,Technology,Gurugram,1
Ravi,Time Management,Transportation and Logistics,Delhi,5
Shweta,Project Management,Construction,Mumbai,0
Akminder,Cross Platform Development,Entertainment,Pune,7
Abhay,Teamwork,Education,Ranchi,4
Anu,Decision-Making,Agriculture,Mohali,2
Anubhav,Public Speaking,Energy,Kolkata,6
Anubhuti,Customer Service,Automotive,Jaipur,3
Ashish,Negotiation,Consulting,Bangalore,1
Dhananjay,Sales and Marketing,Legal Services,Chennai,4
Tanuj,Financial Literacy,Marketing and Advertising,Lucknow,6
Umang,Writing and Editing,Environmental Services,Amritsar,2
Umesh,Presentation Skills,Food and Beverage,Agra,7
Pratham,Conflict Resolution,Telecommunications,Leh,1
Palak,Strategic Planning,Transportation and Logistics,Jammu,3
Amit,Interpersonal Skills,Marketing and Advertising,Kashmir,0
Amithesh,Networking,Food and Beverage,Manesar,5
Chelsi,Organization,Education,Hyderabad,4
Aaditya,Research,Agriculture,New Delhi,7
Abhi,Time Management,Energy,Sonipat,2
Abhilasha,Stress Management,Automotive,Bhopal,6
Abhimanyu,Cross-Cultural Competence,Legal Services,Jhansi,0
Abhishek,Problem-Solving,Marketing and Advertising,Patna,3
Aditi,Adaptability,Environmental Services,Dehradun,5
Anant,Leadership,Food and Beverage,Chandigarh,1
Aniket,Critical Thinking,Telecommunications,Vishakhapatnam,6
Julius Osborn,Cross Platform Development,Fashion and Apparel,Thiruvananthapuram,4
Angel Bullock,Customer Service,Pharmaceuticals,Gaya,0
Conor Wang,Sales and Marketing,Interior Design and Decor,Gandhinagar,2
Josiah Wolf,Public Relations,Fitness and Wellness,Udaipur,3
Nola Mccarthy,Conflict Resolution,Nonprofits,Ahmedabad,7
Lorelai Stuart,Negotiation,Aerospace and Defense,Rajkot,1
Kadin Spence,Project Management,Media and Publishing,Gwalior,5
Leia Coffey,Entrepreneurship,Waste Management,Indore,7
Shaylee York,Ethics and Integrity,Renewable Energy,Nainital,4
Gregory Harper,Decision-Making,Music and Arts,Hamirpur,0
Kasey Ferrell,Time Management,Insurance,Guwahati,3
Laurel Arellano,Financial Planning,Medical,Kota,6
Felix Brown,Event Planning,Retail,Thiruvananthapuram,2
Mekhi Blevins,Coaching and Mentoring,Manufacturing,Vellore,1
Josiah Simon,Creative Thinking,Wholesale,Vijaywada,5
Davis Travis,Multilingualism,E-commerce,Amravati,0
Claudia Evans,Risk Management,Finance,Ghaziabad,7
Yareli Landry,Sales Strategy,Real Estate,Kanpur,4
Emelia Coleman,Flutter,Hospitality,Ambala,2
Logan Rowland,Mobile App Development ,Healthcare,Ranchi,6
Maria David,Data Analysis ,Technology,Mysore,3
Theodore Stanley,Database Management ,Transportation and Logistics,Manesar,1
Aron Gibson,Cloud Computing ,Construction,Hyderabad,5
Cherish Medina,Machine Learning and AI,Entertainment,New Delhi,0
Yurem Hancock,Cybersecurity,Education,Sonipat,2
Brennen Duarte,DevOps,Agriculture,Bhopal,7
Douglas Snyder,Network Administration,Energy,Jhansi,1
Livia Brewer,Software Testing and Quality Assurance,Automotive,Patna,6
Aria Vasquez,IT Support,Consulting,Dehradun,3
Cory Murphy,UI/UX Design,Legal Services,Chandigarh,5
Sarah Lawson,Digital Marketing,Marketing and Advertising,Vishakhapatnam,4
Payton Ponce,Data Science,Environmental Services,Thiruvananthapuram,0
Jaden Espinoza,Blockchain Development,Food and Beverage,Gaya,7
Julien Acevedo,Internet of Things (IoT),Telecommunications,Meerut,1
Selina Villa,Game Development,Fashion and Apparel,Noida,3
Callum Hodges,Augmented Reality (AR) and Virtual Reality (VR),Pharmaceuticals,Jaipur,0
Morgan Steele,Big Data and Hadoop,Interior Design and Decor,Gurugram,5
Willow Walton,Communication Skills,Fitness and Wellness,Delhi,4
Lindsey Velazquez,Leadership,Nonprofits,Mumbai,7
Angelina Pittman,Problem-Solving,Education,Meerut,2
Alonso Castaneda,Creativity,Agriculture,Noida,6
Cassius Rivas,Critical Thinking,Energy,Jaipur,0
Ally Lamb,Adaptability,Automotive,Gurugram,3
Katelyn Cruz,Time Management,Finance,Delhi,5
Joey Lopez,Project Management,Real Estate,Mumbai,1
Leonel Baldwin,Cross Platform Development,Hospitality,Pune,6
Ethen Potter,Teamwork,Healthcare,Ranchi,4
Graham Mckinney,Decision-Making,Technology,Mohali,0
Taniya Fields,Public Speaking,Transportation and Logistics,Kolkata,2
Kelly Grant,Customer Service,Construction,Jaipur,3
Jamie Bender,Negotiation,Entertainment,Bangalore,7
Annabella Jacobs,Programming ,Education,Chennai,1
Makenna Meza,Web Development ,Agriculture,Lucknow,5
Madelynn Noble,Mobile App Development ,Energy,Amritsar,7
Abdullah Haney,Data Analysis ,Automotive,Agra,4
Georgia Roach,Database Management ,Consulting,Leh,0
Trystan Cobb,Cloud Computing ,Legal Services,Jammu,3
Messiah Bowers,Machine Learning and AI,Marketing and Advertising,Kashmir,6
Alexa Bowers,Cybersecurity,Environmental Services,Manesar,2
Fiona Wiggins,DevOps,Food and Beverage,Hyderabad,1
Marisa Morris,Network Administration,Telecommunications,New Delhi,5
Marlee Camacho,Software Testing and Quality Assurance,Technology,Sonipat,0
Laura Estrada,IT Support,Transportation and Logistics,Bhopal,7
Evie Munoz,UI/UX Design,Construction,Jhansi,4
Mariam Franklin,Digital Marketing,Entertainment,Patna,2
Ruth Bowen,Data Science,Education,Dehradun,6
Simon Key,Blockchain Development,Agriculture,Chandigarh,3
Ashtyn Allen,Internet of Things (IoT),Energy,Vishakhapatnam,1
Addyson Hutchinson,Game Development,Automotive,Thiruvananthapuram,4
Hannah Marquez,Augmented Reality (AR) and Virtual Reality (VR),Consulting,Gaya,6
Kara Johnson,Big Data and Hadoop,Legal Services,Gandhinagar,2
Karley Brown,Communication Skills,Marketing and Advertising,Udaipur,7
Lyric Soto,Leadership,Environmental Services,Ahmedabad,1
Jacob Ramirez,Problem-Solving,Food and Beverage,Rajkot,3
Erin Patel,Creativity,Telecommunications,Gwalior,0
Nikolas Kemp,Critical Thinking,Entertainment,Indore,5
Jonathan Walls,Adaptability,Education,Nainital,4
Dominick Hobbs,Time Management,Agriculture,Hamirpur,7
Aryanna Velez,Project Management,Technology,Guwahati,2
Camden Arnold,Cross Platform Development,Transportation and Logistics,Kota,6
Kymani Newton,Teamwork,Construction,Thiruvananthapuram,0
Reina Johnson,Decision-Making,Entertainment,Vellore,3
Luke Bernard,Public Speaking,Education,Vijaywada,5
Athena Jordan,Customer Service,Agriculture,Amravati,1
Zain Castillo,Negotiation,Energy,Ghaziabad,6
Allisson Rangel,Sales and Marketing,Automotive,Kanpur,4
Gina Levine,Financial Literacy,Consulting,Ambala,0
Matteo Massey,Writing and Editing,Legal Services,Ranchi,2
Trenton Lynch,Presentation Skills,Marketing and Advertising,Mysore,3
Arturo Pratt,Conflict Resolution,Environmental Services,Manesar,7
Chana Boyer,Strategic Planning,Food and Beverage,Hyderabad,1
Bernard Cantu,Interpersonal Skills,Telecommunications,New Delhi,5
Solomon Benson,Networking,Entertainment,Sonipat,7
Roy Barnett,Organization,Education,Bhopal,4
Jett Christian,Research,Agriculture,Jhansi,0
Arely Rhodes,Time Management,Legal Services,Patna,3
Richard Raymond,Stress Management,Marketing and Advertising,Dehradun,6
Paityn Dawson,Cross-Cultural Competence,Environmental Services,Chandigarh,2
Angelina Berger,Problem-Solving,Food and Beverage,Vishakhapatnam,1
Alexis Whitaker,Adaptability,Telecommunications,Thiruvananthapuram,5
Johan Pennington,Leadership,Fashion and Apparel,Gaya,0
Harry Mcknight,Critical Thinking,Pharmaceuticals,Meerut,7
Lesly Rojas,Cross Platform Development,Interior Design and Decor,Amritsar,4
Lawrence Horn,Customer Service,Fitness and Wellness,Agra,2
Damarion Branch,Sales and Marketing,Nonprofits,Leh,6
Dennis Pope,Public Relations,Aerospace and Defense,Jammu,3
Kole Liu,Conflict Resolution,Media and Publishing,Kashmir,1
Moriah Ballard,Negotiation,Waste Management,Manesar,5
Elianna Guerra,Project Management,Renewable Energy,Hyderabad,0
Aniyah Lynn,Entrepreneurship,Music and Arts,New Delhi,2
Michael English,Ethics and Integrity,Insurance,Sonipat,7
Haiden Wang,Decision-Making,Medical,Bhopal,1
Danna Sweeney,Time Management,Agriculture,Jhansi,6
Dorian Ward,Financial Planning,Retail,Patna,3
Matilda Villegas,Event Planning,Education,Dehradun,5
Jair Knox,Coaching and Mentoring,,Chandigarh,4
Demarion Hinton,Creative Thinking,Finance,Vishakhapatnam,0
Jaslene Pierce,Multilingualism,Real Estate,Thiruvananthapuram,7
Ishaan Levine,Risk Management,Hospitality,Gaya,1
Hillary Carey,Sales Strategy,Healthcare,Gandhinagar,3
Julie Knapp,Flutter,Technology,Udaipur,0
Yandel Singleton,Mobile App Development ,Transportation and Logistics,Ahmedabad,5
Maximo Bush,Data Analysis ,Construction,Rajkot,4
Kadyn Calderon,Database Management ,Entertainment,Gwalior,7
Miracle Keith,Cloud Computing ,Education,Indore,2
Melissa Schmidt,Machine Learning and AI,Agriculture,Nainital,6
Julianna Long,Cybersecurity,Energy,Hamirpur,0
Kinley Guerrero,DevOps,Automotive,Guwahati,3
Erick Thornton,Network Administration,Consulting,Kota,5
Raina Barton,Software Testing and Quality Assurance,Legal Services,Thiruvananthapuram,1
Madalynn Terrell,IT Support,Marketing and Advertising,Vellore,6
Kenzie Compton,UI/UX Design,Environmental Services,Vijaywada,4
Kristian Buchanan,Digital Marketing,Food and Beverage,Amravati,0
Eliza Brennan,Data Science,Telecommunications,Ghaziabad,2
Jocelynn Freeman,Blockchain Development,Fashion and Apparel,Kanpur,3
Jan Browning,Internet of Things (IoT),Technology,Ambala,7
Cecilia Young,Game Development,Transportation and Logistics,Ranchi,1
Ryder Hinton,Augmented Reality (AR) and Virtual Reality (VR),Construction,Mysore,5
